ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/07/2025;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 15534.62;50%;$ 7767.31
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 21560.82;50%;$ 10780.41
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 12060.41;50%;$ 6030.21
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 52778.3;60%;$ 21111.32
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 35190.8;60%;$ 14076.32
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 47499.9;60%;$ 18999.96
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 29266.48;60%;$ 11706.59
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 17731.5;60%;$ 7092.6
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 10694.97;60%;$ 4277.99
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 17110.76;60%;$ 6844.3
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 8358.6;50%;$ 4179.3
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 8358.6;50%;$ 4179.3
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 15382.25;60%;$ 6152.9
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 30296.43;60%;$ 12118.57
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 49111.04;60%;$ 19644.42
